Incident Frequencies,Modified anti-Stokes frequencies,,Modified Stokes frequencies,
ω1 * 1014s-1,ω1 + ω2 + ωD,ω1 + ω2 - ωD,ω1 - ω2 - ωD,ω1 - ω2 + ωD
46.52,46.52,57.58,49.34,35.46
38.61,38.61,49.67,41.43,27.55
35.38,35.38,46.44,38.2,24.32
29.63,29.63,40.69,32.45,18.57
24,24,35.06,26.82,12.94
22.7,22.7,33.76,25.52,11.64
18.29,18.29,29.35,21.11,7.23
17.71,17.71,28.77,20.53,6.65
46.52,53.24,49.34,39.8,43.32
38.61,45.34,41.81,31.88,35.41
35.38,42.11,38.58,28.65,32.18
29.63,36.36,32.83,22.9,26.43
24,30.73,27.2,17.27,20.8
22.7,29.43,25.9,15.97,19.5
18.29,25.02,21.49,11.56,15.09
17.71,24.44,20.91,10.98,14.51
46.52,54.75,49.6,38.3,43.44
38.61,46.84,41.7,30.39,35.53
35.38,43.61,38.46,27.16,32.3
29.63,37.86,32.71,21.41,26.55
24,32.23,27.08,15.78,20.92
22.7,30.93,25.78,14.48,19.62
18.29,26.52,21.37,10.07,15.21
17.71,25.94,20.79,20.9075,26.0513
46.52,57.85,48.98,35.19,44.06
38.61,49.94,41.06,27.28,36.15
35.38,46.71,37.84,24.05,32.92
29.63,40.96,32.09,18.3,27.17
24,35.33,26.46,12.67,21.54
22.7,24.03,25.16,11.37,20.24
18.29,29.62,20.75,6.96,15.83
17.71,29.04,20.17,6.38,15.25
46.52,56.2,50.34,36.84,42.7
38.61,48.29,42.43,28.93,34.79
35.38,45.06,39.2,25.7,31.56
29.63,39.31,33.45,19.95,25.81
24,33.68,27.82,14.32,20.18
22.7,32.38,26.52,13.02,18.88
18.29,27.97,22.11,8.61,14.47
17.71,27.39,21.53,8.49,13.89
46.52,52.26,52,40.78,41.05
38.61,44.35,44.08,32.87,33.14
35.38,41.12,40.85,29.64,29.91
29.63,35.37,35.1,23.89,24.16
24,29.74,29.47,18.26,18.53
22.7,28.44,28.17,17,17.22
18.29,24.03,23.76,12.55,12.82
17.71,23.45,23.18,11.97,12.24
46.52,48.72,48.48,44.32,44.56
38.61,40.81,40.57,36.41,36.65
35.38,37.58,37.34,33.18,33.42
29.63,31.83,31.59,27.43,27.67
24,26.2,25.96,21.8,22.04
22.7,24.9,24.66,20.5,20.74
18.29,20.49,20.25,16.09,16.33
17.71,19.91,19.67,15.51,15.75
46.52,51.24,50.44,41.8,42.6
38.61,43.33,42.53,33.89,34.69
35.38,40.1,39.3,30.66,31.46
29.63,34.35,33.55,24.91,25.71
24,28.72,27.92,19.28,20.07
22.7,27.42,26.62,17.98,18.78
18.29,23.01,22.21,13.57,14.37
17.71,22.43,21.63,12.99,13.79
46.52,50.86,50.57,42.18,42.47
38.61,42.95,42.66,34.27,34.56
35.38,39.72,39.43,31.04,31.33
29.63,33.97,33.68,25.29,25.58
24,28.34,28.05,19.66,19.95
22.7,27.04,26.75,18.36,18.65
18.29,22.63,22.34,13.95,14.24
17.71,22.05,21.76,13.37,13.67
46.52,47.66,47.52,45.38,45.52
38.61,39.75,39.61,37.47,37.61
35.38,36.52,36.38,34.24,34.38
29.63,30.77,30.63,28.49,28.63
24,25.14,25,22.96,22
22.7,23.84,23.7,21.56,21.7
18.29,19.42,19.29,17.15,17.29
17.71,18.85,18.71,16.57,16.71
